id^name^anschrift1^anschrift2^anschrift3^telefon^fax^email^url^kategorie^gemeindeverwaltung^icon^name2^ansprechpartner
1^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^1^ihk.jpg^^
2^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^2^ihk.jpg^^
3^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^3^ihk.jpg^^
4^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^4^ihk.jpg^^
5^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^5^ihk.jpg^^
6^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^6^ihk.jpg^^
7^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^7^ihk.jpg^^
8^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^8^ihk.jpg^^
9^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^9^ihk.jpg^^
10^Industrie- und Handelskammer Dresden^Langer Weg 4^01239 Dresden^^(0351) 2802-0^(0351) 2802-280 ^service@dresden.ihk.de^www.dresden.ihk.de^Industrie- und Handelskammer^10^ihk.jpg^^
